evolution rate,length lived,species population time,population
0.254559,109,293,2
0.371208,47,87,1
0.250629,90,111,1
0.06005,121,8316,68
0.230813,101,177,1
0.345173,87,158,1
0.190425,87,445,5
0.276321,969,112245,115
0.349369,73,138,1
0.373034,93,102,1
0.135947,304,5462,17
