frame,avg evo,population
12200,0.14,85,48.30%
12300,0.16666666666666669,162
12400,0.07333333333333333,269
12400,0.06,55,20.45%
12400,0.07,142,52.79%
12500,0.07333333333333333,79
12500,0.17,17,21.52%
12500,0.07,39,49.37%
12600,0.22616586167592906,220
12600,0.23,175,79.55%
12700,0.22616586167592906,455
12700,0.15,144,31.65%
12700,0.23,300,65.93%
12800,0.22616586167592906,694
12800,0.15,217,31.27%
12800,0.23,468,67.44%
12900,0.22616586167592906,211
12900,0.23,150,71.09%
12900,0.15,54,25.59%
13000,0.22616586167592906,554
13000,0.15,161,29.06%
13000,0.23,344,62.09%
13100,0.22616586167592906,73
13100,0.23,46,63.01%
13100,0.07,22,30.14%
13200,0.22616586167592906,29
13200,0.23,22,75.86%
13200,0.07,6,20.69%
13300,0.22616586167592906,63
13300,0.23,47,74.60%
13300,0.09,13,20.63%
13400,0.22616586167592906,197
13400,0.09,82,41.62%
13400,0.23,114,57.87%
13500,0.22616586167592906,20
13500,0.23,11,55.00%
13500,0.09,6,30.00%
13600,0.13167586668771064,29
13600,0.23,11,37.93%
13600,0.13,16,55.17%
13700,0.13167586668771064,471
13700,0.23,203,43.10%
13700,0.13,267,56.69%
13800,0.13167586668771064,230
13800,0.23,104,45.22%
13800,0.13,125,54.35%
13900,0.13167586668771064,20
13900,0.23,5,25.00%
13900,0.13,13,65.00%
14000,0.13167586668771064,15
14000,0.13,10,66.67%
14100,0.2249569850485032,160
14100,0.22,82,51.25%
14100,0.25,68,42.50%
14200,0.25180913116266257,78
14200,0.22,34,43.59%
14200,0.25,41,52.56%
14300,0.23838305810558288,62
14300,0.25,31,50.00%
14300,0.22,23,37.10%
14400,0.11283548396297664,49
14400,0.25,13,26.53%
14400,0.11,35,71.43%
14500,0.11283548396297664,45
14500,0.15,15,33.33%
14500,0.11,29,64.44%
14600,0.15343278484357942,65
14600,0.15,53,81.54%
14700,0.15343278484357942,17
14700,0.15,14,82.35%
14800,0.15343278484357942,364
14800,0.15,264,72.53%
14900,0.15343278484357942,1662
14900,0.15,922,55.48%
14900,0.09,481,28.94%
15000,0.15343278484357942,842
15000,0.09,261,31.00%
15000,0.15,442,52.49%
15100,0.12253685593266896,399
15100,0.12,233,58.40%
15100,0.09,164,41.10%
15200,0.12253685593266896,469
15200,0.09,176,37.53%
15200,0.12,292,62.26%
15300,0.10017662835370325,85
15300,0.09,39,45.88%
15300,0.12,42,49.41%
15400,0.12253685593266896,185
15400,0.12,95,51.35%
15400,0.09,84,45.41%
15500,0.12253685593266896,171
15500,0.12,102,59.65%
15500,0.09,66,38.60%
15600,0.10692519355038713,1149
15600,0.1,310,26.98%
15600,0.11,836,72.76%
15700,0.10692519355038713,1597
15700,0.1,472,29.56%
15700,0.11,1124,70.38%
15800,0.09501413505531042,6008
15800,0.1,3058,50.90%
15800,0.11,2949,49.08%
15900,0.10692519355038713,6215
15900,0.11,3438,55.32%
15900,0.1,2776,44.67%
16000,0.09501413505531042,6630
16000,0.1,3351,50.54%
16000,0.11,3279,49.46%
16100,0.15181850939896682,392
16100,0.15,234,59.69%
16100,0.37,142,36.22%
16200,0.15181850939896682,68
16200,0.15,39,57.35%
16200,0.37,27,39.71%
16300,0.15181850939896682,87
16300,0.37,19,21.84%
16300,0.15,58,66.67%
16400,0.15181850939896682,94
16400,0.26,28,29.79%
16400,0.15,55,58.51%
16500,0.15181850939896682,94
16500,0.15,58,61.70%
16500,0.26,22,23.40%
16600,0.1252926452060351,473
16600,0.26,195,41.23%
16600,0.13,277,58.56%
16700,0.26129995705907466,99
16700,0.26,53,53.54%
16700,0.13,45,45.45%
16800,0.1252926452060351,133
16800,0.13,69,51.88%
16800,0.26,63,47.37%
16900,0.26129995705907466,93
16900,0.13,39,41.94%
16900,0.26,53,56.99%
17000,0.26129995705907466,135
17000,0.26,69,51.11%
17000,0.13,65,48.15%
17100,0.14860745786345755,508
17100,0.15,281,55.31%
17100,0.26,217,42.72%
17200,0.26129995705907466,95
17200,0.26,54,56.84%
17200,0.15,40,42.11%
17300,0.14860745786345755,58
17300,0.15,32,55.17%
17300,0.26,25,43.10%
17400,0.14860745786345755,101
17400,0.15,51,50.50%
17400,0.26,43,42.57%
17500,0.14422442882569436,176
17500,0.15,59,33.52%
17500,0.14,92,52.27%
17600,0.14860745786345755,158
17600,0.26,66,41.77%
17600,0.15,91,57.59%
17700,0.14860745786345755,149
17700,0.26,59,39.60%
17700,0.15,80,53.69%
17800,0.14860745786345755,162
17800,0.15,61,37.65%
17800,0.26,77,47.53%
17900,0.14860745786345755,157
17900,0.15,64,40.76%
17900,0.26,41,26.11%
17900,0.13,52,33.12%
18000,0.14860745786345755,159
18000,0.15,62,38.99%
18000,0.13,69,43.40%
18100,0.14860745786345755,104
18100,0.26,39,37.50%
18100,0.15,64,61.54%
18200,0.14860745786345755,144
18200,0.26,58,40.28%
18200,0.15,85,59.03%
18300,0.14860745786345755,165
18300,0.26,71,43.03%
18300,0.15,93,56.36%
18400,0.14860745786345755,129
18400,0.26,38,29.46%
18400,0.15,89,68.99%
18500,0.14860745786345755,123
18500,0.26,51,41.46%
18500,0.15,72,58.54%
18600,0.26129995705907466,406
18600,0.14,174,42.86%
18600,0.26,229,56.40%
18700,0.26129995705907466,399
18700,0.14,97,24.31%
18700,0.26,291,72.93%
18800,0.26129995705907466,257
18800,0.26,182,70.82%
18900,0.26129995705907466,75
18900,0.26,47,62.67%
18900,0.08,27,36.00%
19000,0.26129995705907466,60
19000,0.26,48,80.00%
19100,0.26129995705907466,105
19100,0.08,29,27.62%
19100,0.26,62,59.05%
19200,0.26129995705907466,95
19200,0.26,65,68.42%
19200,0.08,28,29.47%
19300,0.26129995705907466,77
19300,0.08,24,31.17%
19300,0.26,52,67.53%
19400,0.26129995705907466,64
19400,0.08,14,21.88%
19400,0.26,44,68.75%
19500,0.26129995705907466,66
19500,0.26,51,77.27%
19600,0.26129995705907466,283
19600,0.1,81,28.62%
19600,0.26,193,68.20%
19700,0.26129995705907466,118
19700,0.26,68,57.63%
19700,0.1,35,29.66%
19800,0.26129995705907466,102
19800,0.26,52,50.98%
19800,0.1,48,47.06%
19900,0.26129995705907466,41
19900,0.1,10,24.39%
19900,0.26,30,73.17%
20000,0.26129995705907466,84
20000,0.1,36,42.86%
20000,0.26,46,54.76%
20100,0.26129995705907466,24
20100,0.32,9,37.50%
20100,0.26,13,54.17%
20200,0.14333333333333334,741
20200,0.14,241,32.52%
20300,0.14333333333333334,163
20300,0.14,70,42.94%
20400,0.14333333333333334,133
20400,0.16,36,27.07%
20400,0.14,65,48.87%
20400,0.1,28,21.05%
20500,0.09666666666666668,143
20500,0.1,49,34.27%
20500,0.14,46,32.17%
20600,0.15500000000000003,64
20600,0.16,47,73.44%
20600,0.06,16,25.00%
20700,0.15500000000000003,72
20700,0.06,27,37.50%
20700,0.16,43,59.72%
20800,0.15500000000000003,148
20800,0.06,38,25.68%
20800,0.16,86,58.11%
20900,0.06166666666666667,50
20900,0.06,31,62.00%
20900,0.16,12,24.00%
21000,0.10246378510013715,220
21000,0.14,68,30.91%
21000,0.06,110,50.00%
21100,0.18465557807739663,213
21100,0.18,123,57.75%
21200,0.18465557807739663,790
21200,0.18,434,54.94%
21200,0.21,205,25.95%
21300,0.18465557807739663,763
21300,0.18,342,44.82%
21300,0.21,321,42.07%
21400,0.18465557807739663,1798
21400,0.21,679,37.76%
21400,0.18,856,47.61%
21500,0.18465557807739663,6221
21500,0.18,2582,41.50%
21500,0.06,2408,38.71%
21600,0.18465557807739663,3256
21600,0.18,1689,51.87%
21600,0.21,1566,48.10%
21700,0.18465557807739663,3293
21700,0.21,1576,47.86%
21700,0.18,1717,52.14%
21800,0.18465557807739663,2230
21800,0.18,1165,52.24%
21800,0.21,1063,47.67%
21900,0.18465557807739663,2774
21900,0.21,1331,47.98%
21900,0.18,1442,51.98%
22000,0.18465557807739663,2137
22000,0.18,1117,52.27%
22000,0.21,1019,47.68%
22100,0.18465557807739663,690
22100,0.18,355,51.45%
22100,0.21,334,48.41%
22200,0.18465557807739663,190
22200,0.18,96,50.53%
22200,0.21,93,48.95%
22300,0.18465557807739663,84
22300,0.21,37,44.05%
22300,0.18,46,54.76%
22400,0.18465557807739663,88
22400,0.18,48,54.55%
22400,0.21,39,44.32%
22500,0.18465557807739663,93
22500,0.18,50,53.76%
22500,0.21,41,44.09%
22600,0.210543168596856,88
22600,0.18,42,47.73%
22600,0.21,45,51.14%
22700,0.18465557807739663,94
22700,0.18,47,50.00%
22700,0.21,43,45.74%
22800,0.18465557807739663,66
22800,0.21,25,37.88%
22800,0.18,37,56.06%
22900,0.18465557807739663,41
22900,0.18,24,58.54%
22900,0.09,10,24.39%
23000,0.18465557807739663,59
23000,0.21,13,22.03%
23000,0.18,30,50.85%
23000,0.09,16,27.12%
23100,0.18465557807739663,88
23100,0.18,60,68.18%
23200,0.18465557807739663,117
23200,0.21,37,31.62%
23200,0.18,67,57.26%
23300,0.18465557807739663,152
23300,0.21,66,43.42%
23300,0.18,84,55.26%
23400,0.18465557807739663,165
23400,0.18,90,54.55%
23400,0.21,71,43.03%
23500,0.210543168596856,177
23500,0.18,82,46.33%
23500,0.21,94,53.11%
23600,0.18465557807739663,138
23600,0.18,72,52.17%
23600,0.21,65,47.10%
23700,0.18465557807739663,181
23700,0.18,91,50.28%
23700,0.21,89,49.17%
23800,0.18465557807739663,171
23800,0.18,84,49.12%
23800,0.21,81,47.37%
23900,0.18465557807739663,145
23900,0.21,63,43.45%
23900,0.18,80,55.17%
24000,0.18465557807739663,175
24000,0.21,85,48.57%
24000,0.18,89,50.86%
24100,0.18465557807739663,170
24100,0.21,81,47.65%
24100,0.18,88,51.76%
24200,0.18465557807739663,182
24200,0.21,83,45.60%
24200,0.18,98,53.85%
24300,0.18465557807739663,206
24300,0.21,100,48.54%
24300,0.18,106,51.46%
24400,0.18465557807739663,163
24400,0.18,87,53.37%
24400,0.21,75,46.01%
24500,0.18465557807739663,170
24500,0.21,76,44.71%
24500,0.18,91,53.53%
24600,0.210543168596856,170
24600,0.18,81,47.65%
24600,0.21,87,51.18%
24700,0.18465557807739663,184
24700,0.21,89,48.37%
24700,0.18,94,51.09%
24800,0.18465557807739663,179
24800,0.21,82,45.81%
24800,0.18,96,53.63%
24900,0.210543168596856,192
24900,0.18,87,45.31%
24900,0.21,104,54.17%
25000,0.18465557807739663,236
25000,0.21,114,48.31%
