evolution rate,length lived,species population time,population
0.318456,94,105,1
0.1177,98,104,1
0.065787,124,244,1
0.134234,123,163,1
0.198928,92,144,1
0.27528,4001,404669,101
0.186792,4000,472232,118
0.341667,47,87,1
0.353333,57,148,2
0.061667,60,342,5
0.19,60,97,1
0.155,61,204,3
0.236667,62,203,3
0.225,63,113,1
0.388333,64,197,3
0.33,65,95,1
0.108333,66,160,2
0.283333,66,146,2
0.073333,67,303,4
0.166667,72,141,1
0.085,75,208,2
0.178333,76,155,2
0.295,78,145,1
0.376667,81,372,4
0.306667,89,290,3
0.26,92,256,2
0.365,100,715,7
0.05,103,362,3
0.248333,106,316,2
0.12,110,238,2
0.131667,131,862,6
0.318333,137,430,3
0.201667,186,705,3
0.271667,187,1765,9
0.213333,205,1102,5
0.143333,498,38022,76
0.210732,78,208,2
0.096667,998,72861,73
0.1349,586,29659,50
0.36886,84,178,2
0.260894,246,573,2
0.091702,869,225288,259
0.12544,500,115051,230
0.213819,167,227,1
0.268362,313,8568,27
0.188087,368,6144,16
0.251832,85,101,1
0.127544,500,54499,108
0.166247,131,160,1
0.377141,257,2718,10
0.223742,133,585,4
0.376236,70,106,1
0.091897,499,19969,40
0.079399,214,674,3
0.279887,92,109,1
0.240053,90,110,1
0.264399,87,152,1
0.124269,499,112002,224
0.192091,168,387,2
0.282783,131,449,3
0.292542,109,151,1
0.063044,641,52174,81
0.34537,90,591,6
0.261113,64,110,1
0.3049,174,1930,11
0.398729,196,415,2
0.207994,50,90,1
0.372206,119,308,2
0.068014,75,248,3
0.206126,2705,328585,121
0.224311,81,104,1
0.121041,712,6035,8
0.088914,499,7091,14
0.37448,108,211,1
0.268695,97,100,1
0.180462,149,278,1
0.116064,47,78,1
0.39336,83,104,1
0.203784,47,81,1
0.184406,97,102,1
0.145067,471,17311,36
0.200002,4001,348047,86
0.220584,3227,153988,47
0.365,43,84,1
0.213333,46,83,1
0.353333,51,100,1
0.166667,53,149,2
0.33,53,92,1
0.295,58,155,2
0.376667,67,194,2
0.341667,74,258,3
0.201667,76,245,3
0.388333,81,205,2
0.271667,83,246,2
0.225,90,248,2
0.143333,96,269,2
0.178333,96,546,5
0.096667,124,785,6
0.318333,133,449,3
0.283333,143,301,2
0.061667,148,1453,9
0.306667,155,410,2
0.085,157,675,4
0.26,157,2614,16
0.05,165,1496,9
0.248333,206,518,2
0.236667,217,2648,12
0.19,296,8089,27
0.155,426,5954,13
0.073333,498,91393,183
0.108333,498,58054,116
0.12,498,9538,19
0.131667,498,16412,32
0.114253,441,2428,5
0.132569,499,420881,843
0.087224,515,81702,158
0.14751,499,2256,4
0.397603,85,195,2
0.197999,268,3638,13
0.375503,65,94,1
0.354282,646,23160,35
0.335289,53,93,1
0.367499,86,176,2
0.236258,76,308,4
0.088236,133,786,5
0.277732,154,534,3
0.102433,344,1381,4
0.338843,65,142,2
0.087413,89,101,1
0.347428,84,85,1
0.37159,59,92,1
0.278976,59,100,1
0.35617,95,133,1
0.147217,80,101,1
0.144638,76,99,1
0.150268,238,2117,8
0.237757,4001,669286,167
0.192276,2580,177443,68
0.067973,27,66,2
0.295,50,132,2
0.318333,51,90,1
0.236667,56,100,1
0.306667,56,101,1
0.33,56,99,1
0.178333,59,196,3
0.376667,61,303,4
0.108333,63,264,4
0.283333,70,289,4
0.341667,70,326,4
0.131667,74,569,7
0.248333,78,308,3
0.166667,81,567,7
0.073333,83,563,6
0.26,94,191,2
0.085,100,555,5
0.096667,103,479,4
0.05,106,861,8
0.143333,110,1373,12
0.365,111,479,4
0.388333,118,203,1
0.12,135,794,5
0.271667,137,1676,12
