frame,avg evo,population
0,0.21916666666666668,30
100,0.09666666666666668,276
6700,0.24600798096893534,138
6700,0.22,67,48.55%
6700,0.25,70,50.72%
6800,0.24600798096893534,122
6800,0.22,56,45.90%
6800,0.25,64,52.46%
6900,0.22074211825933843,147
6900,0.22,73,49.66%
6900,0.25,71,48.30%
7000,0.22074211825933843,177
7000,0.25,85,48.02%
7000,0.22,87,49.15%
7100,0.23337504961413688,144
7100,0.22,69,47.92%
7100,0.25,72,50.00%
7200,0.22074211825933843,188
7200,0.25,93,49.47%
7200,0.22,94,50.00%
7300,0.22074211825933843,215
7300,0.25,84,39.07%
7300,0.22,104,48.37%
7400,0.22074211825933843,204
7400,0.19,92,45.10%
7400,0.22,82,40.20%
7500,0.18851447564745438,199
7500,0.22,84,42.21%
7500,0.19,104,52.26%
7600,0.18851447564745438,214
7600,0.19,112,52.34%
7600,0.22,98,45.79%
7700,0.18851447564745438,219
7700,0.22,97,44.29%
7700,0.19,119,54.34%
7800,0.22074211825933843,194
7800,0.19,95,48.97%
7800,0.22,97,50.00%
7900,0.18851447564745438,170
7900,0.22,80,47.06%
7900,0.19,88,51.76%
8000,0.18851447564745438,139
8000,0.19,72,51.80%
8000,0.22,66,47.48%
