enviorment change rate,planned master run,master run,apex evolution rate,fitness,max species,fit sigma left,fit sigma right,fit r2
0.8,820,820,0.269,3750.0,175.0,0.08237312750535253,0.04121332512025836,-11.168967464564565
0.81,821,821,0.105,2826.0,183.0,0.02260707161914539,0.08889746145830013,-10.410563698516672
0.82,822,822,0.093,2373.5,176.0,0.019188200308291988,0.09488845309216155,-7.214972001956957
0.83,823,823,0.08,2044.3333333333333,175.0,0.012558656786705246,0.10032101256221115,-6.770607869363848
0.84,824,824,0.158,2336.0,174.0,0.04577538295090499,0.07326059640414719,-11.20284094554942
0.85,825,825,0.09,3360.5,177.0,0.015710465691010766,0.08930421650657304,-12.117009530050213
0.86,826,826,0.062,2362.75,182.0,0.006304027599274898,0.10470174063021512,-6.4583492441454595
0.87,827,827,0.086,4001.0,174.0,0.013634013063701355,0.08983059472957079,-12.747326610497934
0.88,828,828,0.096,2690.3333333333335,176.0,0.019587332532303204,0.09215177516269116,-12.925693824249683
0.89,829,829,0.061,2409.0,181.0,0.005928772056112979,0.10440309021821013,-8.32195581638259
0.9,830,830,0.065,4001.0,178.0,0.006037394824363333,0.09570703482640913,-10.014420891493112
0.91,831,831,0.1,2066.5,180.0,0.02472403144888857,0.09513118059623848,-5.687879968242916
0.92,832,832,0.124,4001.0,179.0,0.029119088932011143,0.07735151814354306,-19.5899555453165
0.93,833,833,0.13,4001.0,173.0,0.031091201564843705,0.07540702966699818,-18.625295963236233
0.94,834,834,0.106,4001.0,174.0,0.02200951544020611,0.08347051577822544,-11.983859029702074
0.95,835,835,0.076,2492.3333333333335,177.0,0.011770138136075631,0.10026336322101732,-8.549980891592753
0.96,836,836,0.07,2412.0,178.0,0.009212091655867194,0.10221877636288959,-6.658921495849814
0.97,837,837,0.054,4001.0,176.0,0.0018790173319433716,0.09980095299043548,-15.996435331753197
0.98,838,838,0.068,4001.0,180.0,0.0068928886136679435,0.09592337821755445,-12.800529676306336
0.99,839,839,0.089,4001.0,182.0,0.01529489309859542,0.08798758219390053,-16.752672305265467
1.0,840,840,0.261,4001.0,175.0,0.07852573840739707,0.043406729720952275,-10.78497900255084
1.01,841,841,0.067,2550.5,184.0,0.008091375674003665,0.10224453578221458,-4.90117746120125
1.02,842,842,0.095,1889.25,183.0,0.023065373048152128,0.09789872440315117,-4.6946858695280085
1.03,843,843,0.065,4001.0,175.0,0.006167659855344732,0.09526773309490681,-16.778768691594582
1.04,844,844,0.059,4001.0,180.0,0.0036740927094335795,0.09784668018269564,-13.520219296170135
1.05,845,845,0.123,3649.0,176.0,0.02952889216200115,0.07905608251565154,-11.551234133143412
1.06,846,846,0.073,2015.7222222222222,172.0,0.010998317688273983,0.10352915763426904,-6.1039351432868285
1.07,847,847,0.096,2105.0,174.0,0.021682280492484805,0.094317497328874,-4.864307630600388
1.08,848,848,0.086,4001.0,174.0,0.013996624560978341,0.08903320894593893,-19.183275010909156
1.09,849,849,0.244,2377.0,177.0,0.0770126523471092,0.047094557219757374,-10.666971368752478
1.1,850,850,0.115,2091.0,175.0,0.028519897037336275,0.08927966132450775,-8.381132108337956
1.11,851,851,0.135,2262.0,174.0,0.03832616103921769,0.08288625707222701,-6.9422310979985244
1.12,852,852,0.131,2759.0,178.0,0.034293375950184515,0.080824420706824,-10.359958426988124
1.13,853,853,0.062,2026.4347826086957,174.0,0.007412498182504632,0.1082265235048249,-5.32346849517062
1.14,854,854,0.086,2272.5,173.0,0.01584905218021348,0.09745331688050471,-5.43513596319754
1.15,855,855,0.06,1901.0,173.0,0.00479162001042973,0.10898500384999564,-4.48164378467733
1.16,856,856,0.085,2268.4117647058824,178.0,0.01652187024031781,0.09796649505051841,-5.666339386011186
1.17,857,857,0.115,2830.0,184.0,0.027240692455800873,0.08543887048568116,-14.25594258683017
1.18,858,858,0.059,4001.0,175.0,0.003910270135238929,0.09751656984123722,-10.14098697374979
