frame,avg evo,population
12500,0.27,37,36.27%
12600,0.1817806766631403,104
12600,0.27,47,45.19%
12600,0.18,56,53.85%
12700,0.1817806766631403,130
12700,0.18,69,53.08%
12700,0.27,60,46.15%
12800,0.1817806766631403,107
12800,0.27,41,38.32%
12800,0.18,65,60.75%
12900,0.1817806766631403,96
12900,0.27,44,45.83%
12900,0.18,51,53.12%
13000,0.1817806766631403,100
13000,0.27,41,41.00%
13000,0.18,58,58.00%
13100,0.1817806766631403,88
13100,0.27,39,44.32%
13100,0.18,48,54.55%
13200,0.26807630183391307,86
13200,0.18,37,43.02%
13200,0.27,44,51.16%
13300,0.1817806766631403,103
13300,0.1,37,35.92%
13300,0.18,53,51.46%
13400,0.1817806766631403,85
13400,0.1,36,42.35%
13400,0.18,48,56.47%
13500,0.1817806766631403,87
13500,0.18,53,60.92%
13500,0.1,33,37.93%
13600,0.11520907217979674,221
13600,0.18,102,46.15%
13600,0.12,117,52.94%
13700,0.11520907217979674,124
13700,0.18,60,48.39%
13700,0.12,63,50.81%
13800,0.1817806766631403,63
13800,0.12,29,46.03%
13800,0.18,33,52.38%
13900,0.1817806766631403,93
13900,0.18,46,49.46%
13900,0.12,46,49.46%
14000,0.1817806766631403,91
14000,0.18,48,52.75%
14000,0.12,42,46.15%
14100,0.06909699774369438,332
14100,0.18,165,49.70%
14100,0.05,165,49.70%
14200,0.05273277459780899,12
14200,0.05,8,66.67%
14200,0.18,3,25.00%
14300,0.05273277459780899,190
14300,0.18,89,46.84%
14300,0.05,99,52.11%
14400,0.05273277459780899,377
14400,0.05,241,63.93%
14400,0.18,132,35.01%
14500,0.10562622520201995,280
14500,0.18,137,48.93%
14500,0.05,140,50.00%
14600,0.1817806766631403,155
14600,0.4,48,30.97%
14600,0.18,100,64.52%
14700,0.09083333333333335,260
14700,0.09,103,39.62%
14800,0.06166666666666667,143
14800,0.06,72,50.35%
14800,0.09,65,45.45%
14900,0.06166666666666667,107
14900,0.09,47,43.93%
14900,0.06,59,55.14%
15000,0.085,37
15000,0.06,10,27.03%
15000,0.09,21,56.76%
15100,0.06166666666666667,184
15100,0.06,133,72.28%
15100,0.29,50,27.17%
15200,0.06166666666666667,516
15200,0.29,107,20.74%
15200,0.06,408,79.07%
15300,0.06166666666666667,808
15300,0.29,288,35.64%
15300,0.06,519,64.23%
15400,0.06166666666666667,764
15400,0.29,189,24.74%
15400,0.06,573,75.00%
15500,0.06166666666666667,252
15500,0.29,57,22.62%
15500,0.06,194,76.98%
15600,0.2853742888750112,39
15600,0.29,27,69.23%
15600,0.07,10,25.64%
15700,0.2853742888750112,89
15700,0.07,37,41.57%
15700,0.29,51,57.30%
15800,0.2853742888750112,58
15800,0.29,36,62.07%
15800,0.12,20,34.48%
15900,0.2853742888750112,21
15900,0.29,13,61.90%
15900,0.12,7,33.33%
16000,0.2853742888750112,76
16000,0.12,26,34.21%
16000,0.29,43,56.58%
16100,0.1764049927770605,11
16100,0.18,6,54.55%
16200,0.1764049927770605,44
16200,0.26,18,40.91%
16200,0.18,21,47.73%
16300,0.2642301304743001,127
16300,0.26,79,62.20%
16300,0.06,35,27.56%
16400,0.2642301304743001,523
16400,0.06,232,44.36%
16400,0.26,288,55.07%
16500,0.05975850672186831,109
16500,0.26,25,22.94%
16500,0.06,82,75.23%
16600,0.29619294140187014,65
16600,0.3,28,43.08%
16600,0.28,32,49.23%
16700,0.39332807690262056,66
16700,0.3,28,42.42%
16700,0.39,36,54.55%
16800,0.19369589286939276,15
16800,0.07,5,33.33%
16800,0.19,9,60.00%
16900,0.07082937390659329,22
16900,0.07,15,68.18%
16900,0.19,6,27.27%
17000,0.07082937390659329,17
17000,0.07,15,88.24%
17100,0.06452656799541322,41
17100,0.06,22,53.66%
17100,0.37,13,31.71%
17200,0.06452656799541322,392
17200,0.06,204,52.04%
17200,0.08,185,47.19%
17300,0.07555334734682986,79
17300,0.08,41,51.90%
17300,0.06,37,46.84%
17400,0.07555334734682986,97
17400,0.08,46,47.42%
17400,0.06,43,44.33%
17500,0.07555334734682986,308
17500,0.08,164,53.25%
17500,0.06,141,45.78%
17600,0.12623518104413278,76
17600,0.06,21,27.63%
17600,0.13,53,69.74%
17700,0.12623518104413278,104
17700,0.06,39,37.50%
17700,0.13,63,60.58%
17800,0.06452656799541322,41
17800,0.13,16,39.02%
17800,0.06,24,58.54%
17900,0.07400371728707195,44
17900,0.13,12,27.27%
17900,0.06,22,50.00%
17900,0.08,10,22.73%
18000,0.07400371728707195,24
18000,0.06,12,50.00%
18000,0.08,10,41.67%
18100,0.1022986481302329,57
18100,0.19,21,36.84%
18100,0.1,35,61.40%
18200,0.1022986481302329,82
18200,0.19,35,42.68%
18200,0.1,46,56.10%
18300,0.1022986481302329,26
18300,0.19,8,30.77%
18300,0.1,16,61.54%
18400,0.1022986481302329,76
18400,0.19,25,32.89%
18400,0.1,50,65.79%
18500,0.1022986481302329,160
18500,0.19,58,36.25%
18500,0.1,101,63.12%
18600,0.18740708564328368,145
18600,0.19,142,97.93%
18700,0.18740708564328368,64
18700,0.19,35,54.69%
18700,0.17,21,32.81%
18800,0.17121989402242768,51
18800,0.17,32,62.75%
18800,0.19,18,35.29%
18900,0.17121989402242768,98
18900,0.19,46,46.94%
18900,0.17,51,52.04%
19000,0.17121989402242768,119
19000,0.17,59,49.58%
19000,0.19,59,49.58%
19100,0.17121989402242768,130
19100,0.12,42,32.31%
19100,0.19,61,46.92%
19100,0.17,27,20.77%
19200,0.11598119250149085,81
19200,0.12,52,64.20%
19200,0.19,28,34.57%
19300,0.11598119250149085,66
