enviorment change rate,master run,y evolution rate,arithmetic mean length lived (size source),marker size (pts^2),source row index
0.50,80,0.287,194.667,34.9464,238
0.50,80,0.288,350.182,67.9637,239
0.50,80,0.289,625.889,126.499,240
0.50,80,0.29,173.8,30.5162,241
0.50,80,0.291,212.882,38.8137,242
0.50,80,0.292,413.25,81.3537,243
0.50,80,0.293,434.091,85.7784,244
0.50,80,0.294,878,180.025,245
0.50,80,0.295,238.375,44.2261,246
0.50,80,0.296,438.647,86.7457,247
0.50,80,0.297,178.923,31.6039,248
0.50,80,0.298,205.286,37.2009,249
0.50,80,0.299,329,63.4666,250
0.50,80,0.3,178.333,31.4786,251
0.50,80,0.301,464.25,92.1815,252
0.50,80,0.302,280.455,53.16,253
0.50,80,0.303,579.529,116.656,254
0.50,80,0.304,414.583,81.6368,255
0.50,80,0.305,298.091,56.9043,256
0.50,80,0.306,320.857,61.7378,257
0.50,80,0.307,350.947,68.1263,258
0.50,80,0.308,178.5,31.514,259
0.50,80,0.309,267.857,50.4854,260
0.50,80,0.31,206.6,37.4799,261
0.50,80,0.311,287.824,54.7245,262
0.50,80,0.312,150,25.4632,263
0.50,80,0.313,126.875,20.5536,264
0.50,80,0.314,172.091,30.1533,265
0.50,80,0.315,306.077,58.5998,266
0.50,80,0.316,152,25.8878,267
0.50,80,0.317,319.143,61.3739,268
0.50,80,0.318,209.727,38.1439,269
0.50,80,0.319,277.308,52.4918,270
0.50,80,0.32,274.308,51.8549,271
0.50,80,0.321,143.778,24.1422,272
0.50,80,0.322,307.067,58.81,273
0.50,80,0.323,232,42.8726,274
0.50,80,0.324,265.636,50.0139,275
0.50,80,0.325,302.3,57.798,276
0.50,80,0.326,198.143,35.6844,277
0.50,80,0.327,334.444,64.6225,278
0.50,80,0.328,203.889,36.9043,279
0.50,80,0.329,209.5,38.0956,280
0.50,80,0.33,298,56.885,281
0.50,80,0.331,514.222,102.791,282
0.50,80,0.332,251.857,47.0885,283
0.50,80,0.333,226.846,41.7784,284
0.50,80,0.334,245.375,45.7122,285
0.50,80,0.335,165.778,28.813,286
0.50,80,0.336,410.444,80.758,287
0.50,80,0.337,156.3,26.8008,288
0.50,80,0.338,191,34.1679,289
0.50,80,0.339,220.286,40.3855,290
0.50,80,0.34,233.25,43.138,291
0.50,80,0.341,150.833,25.6401,292
0.50,80,0.342,354.615,68.905,293
0.50,80,0.343,208.429,37.8682,294
0.50,80,0.344,142,23.7647,295
0.50,80,0.345,239.273,44.4167,296
0.50,80,0.346,583.25,117.446,297
0.50,80,0.347,310.778,59.5979,298
0.50,80,0.348,307.8,58.9657,299
0.50,80,0.349,230.923,42.644,300
0.50,80,0.35,250.706,46.844,301
0.50,80,0.351,218.867,40.0843,302
0.50,80,0.352,158.571,27.283,303
0.50,80,0.353,247.615,46.1879,304
0.50,80,0.354,114.2,17.8625,305
0.50,80,0.355,185.667,33.0356,306
0.50,80,0.356,425.833,84.0253,307
0.50,80,0.357,173.143,30.3767,308
0.50,80,0.358,250.5,46.8003,309
0.50,80,0.359,186.769,33.2697,310
0.50,80,0.36,217.727,39.8424,311
0.50,80,0.361,142.692,23.9117,312
0.50,80,0.362,225.667,41.528,313
0.50,80,0.363,314.75,60.4412,314
0.50,80,0.364,158.067,27.1758,315
0.50,80,0.365,230.739,42.6049,316
0.50,80,0.366,445.75,88.2538,317
0.50,80,0.367,190.357,34.0314,318
0.50,80,0.368,221.889,40.7259,319
0.50,80,0.369,258.5,48.4988,320
0.50,80,0.37,154.667,26.454,321
0.50,80,0.371,191.308,34.2332,322
0.50,80,0.372,180.2,31.875,323
0.50,80,0.373,162.154,28.0436,324
0.50,80,0.374,398.077,78.1323,325
0.50,80,0.375,126.75,20.527,326
0.50,80,0.376,198.333,35.7248,327
0.50,80,0.377,134.2,22.1087,328
0.50,80,0.378,219.909,40.3056,329
0.50,80,0.379,126.8,20.5376,330
0.50,80,0.38,281.4,53.3607,331
0.50,80,0.381,77.1667,10,332
0.50,80,0.382,101,15.06,333
0.50,80,0.383,146.875,24.7997,334
0.50,80,0.384,111.5,17.2893,335
0.50,80,0.385,95.5833,13.91,336
0.50,80,0.386,323.7,62.3414,337
0.50,80,0.387,297.182,56.7113,338
0.50,80,0.388,107.846,16.5135,339
0.50,80,0.389,149.4,25.3358,340
0.50,80,0.39,138.455,23.012,341
0.50,80,0.391,91.2857,12.9976,342
0.50,80,0.392,125.333,20.2262,343
0.50,80,0.393,262.167,49.2773,344
0.50,80,0.394,150.933,25.6614,345
0.50,80,0.395,189.5,33.8494,346
0.50,80,0.396,323.8,62.3626,347
0.50,80,0.397,187.636,33.4538,348
0.50,80,0.398,131.889,21.618,349
0.50,80,0.399,185.167,32.9294,350
0.50,80,0.4,121.833,19.4832,351
