evo rate,enviormentChangeRate,fitness
0.349,0.11,262.1666666666667
0.35,0.11,170.33333333333334
0.351,0.11,349.07142857142856
0.352,0.11,145.47368421052633
0.353,0.11,269.6
0.354,0.11,80.875
0.355,0.11,204.11111111111111
0.356,0.11,414.64285714285717
0.357,0.11,138.44444444444446
0.358,0.11,194.16666666666666
0.359,0.11,118.5
0.36,0.11,226.72727272727272
0.361,0.11,118.8
0.362,0.11,200.77777777777777
0.363,0.11,87.88888888888889
0.364,0.11,204.5
0.365,0.11,330.64285714285717
0.366,0.11,237.25
0.367,0.11,331.57142857142856
0.368,0.11,222.8
0.369,0.11,289.42857142857144
0.37,0.11,375.4
0.371,0.11,113.18181818181819
0.372,0.11,110.85714285714286
0.373,0.11,119.25
0.374,0.11,532.75
0.375,0.11,95.71428571428571
0.376,0.11,255.0
0.377,0.11,309.57142857142856
0.378,0.11,324.75
0.379,0.11,183.0
0.38,0.11,150.42857142857142
0.381,0.11,180.83333333333334
0.382,0.11,251.6
0.383,0.11,96.0
0.384,0.11,96.66666666666667
0.385,0.11,218.5
0.386,0.11,327.8
0.387,0.11,383.25
0.388,0.11,98.33333333333333
0.389,0.11,148.0
0.39,0.11,169.28571428571428
0.391,0.11,232.75
0.393,0.11,641.6666666666666
0.394,0.11,561.0
0.395,0.11,539.0
0.396,0.11,191.25
0.397,0.11,427.0
0.399,0.11,85.0
0.05,0.12,375.84
0.051,0.12,145.1578947368421
0.052,0.12,188.97297297297297
0.053,0.12,177.6086956521739
0.054,0.12,182.04
0.055,0.12,172.9655172413793
0.056,0.12,215.74074074074073
0.057,0.12,157.3235294117647
0.058,0.12,164.6764705882353
0.059,0.12,213.36666666666667
0.06,0.12,151.09375
0.061,0.12,182.65217391304347
0.062,0.12,150.86111111111111
0.063,0.12,181.02941176470588
0.064,0.12,109.97777777777777
0.065,0.12,211.0
0.066,0.12,166.14285714285714
0.067,0.12,160.25
0.068,0.12,162.94736842105263
0.069,0.12,247.75
0.07,0.12,141.8
0.071,0.12,184.89583333333334
0.072,0.12,148.51063829787233
0.073,0.12,158.0
0.074,0.12,182.3111111111111
0.075,0.12,145.375
0.076,0.12,158.17777777777778
0.077,0.12,142.0857142857143
0.078,0.12,217.44117647058823
0.079,0.12,141.9811320754717
0.08,0.12,184.12
0.081,0.12,164.82222222222222
0.082,0.12,145.9814814814815
0.083,0.12,131.325
0.084,0.12,138.01612903225808
0.085,0.12,188.46031746031747
0.086,0.12,169.2439024390244
0.087,0.12,165.03225806451613
0.088,0.12,179.79310344827587
0.089,0.12,165.14705882352942
0.09,0.12,95.91666666666667
0.091,0.12,194.17307692307693
0.092,0.12,144.27906976744185
0.093,0.12,162.02439024390245
0.094,0.12,169.3170731707317
0.095,0.12,157.57894736842104
0.096,0.12,171.82222222222222
0.097,0.12,193.15217391304347
0.098,0.12,193.32758620689654
0.099,0.12,135.9090909090909
0.1,0.12,150.8181818181818
0.101,0.12,148.7
0.102,0.12,147.42592592592592
0.103,0.12,119.734375
0.104,0.12,162.44444444444446
0.105,0.12,151.53846153846155
0.106,0.12,136.19607843137254
0.107,0.12,110.39285714285714
0.108,0.12,109.63461538461539
0.109,0.12,101.32558139534883
0.11,0.12,117.79591836734694
0.111,0.12,128.71428571428572
0.112,0.12,191.06521739130434
0.113,0.12,87.73333333333333
0.114,0.12,140.0
0.115,0.12,132.27272727272728
0.116,0.12,140.86363636363637
0.117,0.12,145.625
0.118,0.12,188.35
0.119,0.12,166.78571428571428
0.12,0.12,196.64705882352942
0.121,0.12,165.31578947368422
0.122,0.12,272.6875
0.123,0.12,196.8125
0.124,0.12,119.33333333333333
0.125,0.12,191.93333333333334
0.126,0.12,187.06666666666666
0.127,0.12,372.76190476190476
0.128,0.12,194.55
0.129,0.12,221.66666666666666
0.13,0.12,241.28571428571428
0.131,0.12,188.5625
0.132,0.12,177.47368421052633
0.133,0.12,357.9
0.134,0.12,124.23076923076923
0.135,0.12,163.65217391304347
0.136,0.12,173.77777777777777
0.137,0.12,289.7857142857143
0.138,0.12,238.52380952380952
0.139,0.12,150.13333333333333
0.14,0.12,290.0
0.141,0.12,186.2
0.142,0.12,104.11764705882354
0.143,0.12,245.95652173913044
0.144,0.12,250.84
0.145,0.12,175.3181818181818
0.146,0.12,221.42307692307693
0.147,0.12,243.71428571428572
0.148,0.12,224.34782608695653
0.149,0.12,219.88235294117646
0.15,0.12,266.1
0.151,0.12,253.5
0.152,0.12,281.125
0.153,0.12,225.33333333333334
0.154,0.12,198.3684210526316
0.155,0.12,258.4230769230769
0.156,0.12,206.48275862068965
0.157,0.12,219.625
0.158,0.12,187.15151515151516
0.159,0.12,186.33333333333334
0.16,0.12,299.7
0.161,0.12,188.30769230769232
0.162,0.12,226.71428571428572
0.163,0.12,270.0
0.164,0.12,189.03703703703704
0.165,0.12,277.0769230769231
0.166,0.12,194.89743589743588
0.167,0.12,219.96875
0.168,0.12,200.55172413793105
0.169,0.12,134.36363636363637
0.17,0.12,179.32142857142858
0.171,0.12,195.2
0.172,0.12,141.71428571428572
0.173,0.12,192.40540540540542
0.174,0.12,179.44444444444446
0.175,0.12,209.2173913043478
0.176,0.12,227.8695652173913
0.177,0.12,198.66666666666666
0.178,0.12,181.0
0.179,0.12,269.57142857142856
0.18,0.12,219.58333333333334
0.181,0.12,232.6
0.182,0.12,222.04
0.183,0.12,225.68421052631578
0.184,0.12,194.2941176470588
0.185,0.12,213.08333333333334
0.186,0.12,235.11428571428573
0.187,0.12,225.64705882352942
0.188,0.12,190.95454545454547
0.189,0.12,221.8235294117647
0.19,0.12,225.23529411764707
0.191,0.12,246.28571428571428
0.192,0.12,178.33333333333334
0.193,0.12,171.04
0.194,0.12,311.0
0.195,0.12,260.05555555555554
0.196,0.12,198.88888888888889
0.197,0.12,206.27586206896552
0.198,0.12,257.5263157894737
0.199,0.12,314.7586206896552
0.2,0.12,157.58333333333334
0.201,0.12,194.89285714285714
0.202,0.12,233.875
0.203,0.12,265.70588235294116
0.204,0.12,287.41379310344826
0.205,0.12,226.26923076923077
0.206,0.12,296.6842105263158
0.207,0.12,235.75862068965517
0.208,0.12,210.27272727272728
0.209,0.12,333.54545454545456
0.21,0.12,296.90909090909093
0.211,0.12,278.1818181818182
0.212,0.12,266.42105263157896
0.213,0.12,269.36
0.214,0.12,291.90625
0.215,0.12,291.3333333333333
0.216,0.12,163.3846153846154
0.217,0.12,259.51612903225805
0.218,0.12,267.1
0.219,0.12,333.8235294117647
0.22,0.12,190.3684210526316
0.221,0.12,274.037037037037
0.222,0.12,330.5
0.223,0.12,255.92307692307693
0.224,0.12,221.875
0.225,0.12,307.51724137931035
0.226,0.12,237.1290322580645
0.227,0.12,203.06451612903226
0.228,0.12,237.8148148148148
0.229,0.12,339.56666666666666
0.23,0.12,244.57692307692307
0.231,0.12,204.62962962962962
0.232,0.12,299.2857142857143
0.233,0.12,242.05263157894737
0.234,0.12,207.93333333333334
0.235,0.12,267.14285714285717
0.236,0.12,308.375
0.237,0.12,227.75
0.238,0.12,252.0
0.239,0.12,224.55
0.24,0.12,349.2307692307692
0.241,0.12,317.77777777777777
0.242,0.12,284.5882352941176
0.243,0.12,273.75
0.244,0.12,289.77777777777777
0.245,0.12,275.2758620689655
0.246,0.12,382.84615384615387
0.247,0.12,301.05263157894734
0.248,0.12,347.64285714285717
0.249,0.12,286.55555555555554
0.25,0.12,262.48148148148147
0.251,0.12,246.91304347826087
0.252,0.12,254.56
0.253,0.12,272.3703703703704
0.254,0.12,203.6315789473684
0.255,0.12,185.80769230769232
0.256,0.12,225.37037037037038
0.257,0.12,215.92592592592592
0.258,0.12,390.6923076923077
0.259,0.12,130.0
0.26,0.12,330.7391304347826
0.261,0.12,204.46153846153845
0.262,0.12,234.42857142857142
0.263,0.12,270.23809523809524
0.264,0.12,293.0
0.265,0.12,217.5
0.266,0.12,275.7391304347826
0.267,0.12,296.6818181818182
0.268,0.12,219.79166666666666
0.269,0.12,298.375
0.27,0.12,198.3125
0.271,0.12,357.06666666666666
0.272,0.12,282.7241379310345
0.273,0.12,409.2857142857143
0.274,0.12,218.45
0.275,0.12,389.0
0.276,0.12,203.75
0.277,0.12,234.3913043478261
0.278,0.12,231.64705882352942
0.279,0.12,185.14814814814815
0.28,0.12,206.94117647058823
0.281,0.12,350.56
0.282,0.12,270.9583333333333
0.283,0.12,211.31578947368422
0.284,0.12,222.34782608695653
0.285,0.12,202.68421052631578
0.286,0.12,207.78571428571428
0.287,0.12,237.66666666666666
0.288,0.12,254.0
