enviorment change rate,master run,apex x,apex y,sigma left,sigma right,r2,equation
1.01,1043,0.159,4001.0,0.04043451751109009,0.07688089688188438,-10.403206896897725,y=4001*exp(-((x-0.159)^2)/(2*0.0404345^2)) for x<=0.159; y=4001*exp(-((x-0.159)^2)/(2*0.0768809^2)) for x>0.159
1.02,1044,0.175,2966.0,0.04520465045438682,0.07354225404166215,-6.675293376055308,y=2966*exp(-((x-0.175)^2)/(2*0.0452047^2)) for x<=0.175; y=2966*exp(-((x-0.175)^2)/(2*0.0735423^2)) for x>0.175
1.03,1045,0.172,4001.0,0.0441424218638794,0.06970551854700408,-10.58532871782971,y=4001*exp(-((x-0.172)^2)/(2*0.0441424^2)) for x<=0.172; y=4001*exp(-((x-0.172)^2)/(2*0.0697055^2)) for x>0.172
1.04,1046,0.172,4001.0,0.0446959999458581,0.0706311705365402,-8.293723943457321,y=4001*exp(-((x-0.172)^2)/(2*0.044696^2)) for x<=0.172; y=4001*exp(-((x-0.172)^2)/(2*0.0706312^2)) for x>0.172
1.05,1047,0.192,2545.0,0.05857492271123624,0.06981302228560689,-6.573496462146888,y=2545*exp(-((x-0.192)^2)/(2*0.0585749^2)) for x<=0.192; y=2545*exp(-((x-0.192)^2)/(2*0.069813^2)) for x>0.192
1.06,1048,0.197,4001.0,0.05569522835633058,0.05990921520945948,-9.527304416883322,y=4001*exp(-((x-0.197)^2)/(2*0.0556952^2)) for x<=0.197; y=4001*exp(-((x-0.197)^2)/(2*0.0599092^2)) for x>0.197
1.07,1049,0.195,4001.0,0.05168910800102713,0.06369796091489284,-9.950165509718087,y=4001*exp(-((x-0.195)^2)/(2*0.0516891^2)) for x<=0.195; y=4001*exp(-((x-0.195)^2)/(2*0.063698^2)) for x>0.195
1.08,1050,0.174,4001.0,0.044307276234388605,0.06880153647283736,-20.397285691418404,y=4001*exp(-((x-0.174)^2)/(2*0.0443073^2)) for x<=0.174; y=4001*exp(-((x-0.174)^2)/(2*0.0688015^2)) for x>0.174
1.09,1051,0.217,3915.0,0.057997551406903804,0.057797569375966154,-15.82403025033458,y=3915*exp(-((x-0.217)^2)/(2*0.0579976^2)) for x<=0.217; y=3915*exp(-((x-0.217)^2)/(2*0.0577976^2)) for x>0.217
1.1,1052,0.166,4001.0,0.041757978641139025,0.07280379904645401,-9.972936668693448,y=4001*exp(-((x-0.166)^2)/(2*0.041758^2)) for x<=0.166; y=4001*exp(-((x-0.166)^2)/(2*0.0728038^2)) for x>0.166
1.11,1053,0.216,3778.0,0.05832382824808449,0.05938334218012384,-12.207714697378144,y=3778*exp(-((x-0.216)^2)/(2*0.0583238^2)) for x<=0.216; y=3778*exp(-((x-0.216)^2)/(2*0.0593833^2)) for x>0.216
1.12,1054,0.169,4001.0,0.04140033752468001,0.07177993529392145,-14.641110503787552,y=4001*exp(-((x-0.169)^2)/(2*0.0414003^2)) for x<=0.169; y=4001*exp(-((x-0.169)^2)/(2*0.0717799^2)) for x>0.169
