evo rate,enviormentChangeRate,fitness
0.348,0.5,100.0
0.349,0.5,99.0
0.35,0.5,157.0
0.353,0.5,58.0
0.355,0.5,344.0
0.366,0.5,112.0
0.367,0.5,73.0
0.369,0.5,158.5
0.372,0.5,115.0
0.375,0.5,82.0
0.377,0.5,70.0
0.378,0.5,278.0
0.381,0.5,701.0
0.382,0.5,235.0
0.384,0.5,137.0
0.391,0.5,111.0
0.396,0.5,94.0
0.399,0.5,53.0
0.05,0.51,523.0
0.054,0.51,943.0
0.055,0.51,231.33333333333334
0.057,0.51,3364.0
0.058,0.51,979.0
0.059,0.51,234.0
0.06,0.51,332.5
0.061,0.51,932.0
0.062,0.51,1436.5
0.065,0.51,194.0
0.067,0.51,1462.0
0.069,0.51,877.0
0.07,0.51,772.0
0.072,0.51,815.5
0.073,0.51,242.0
0.074,0.51,979.0
0.076,0.51,162.0
0.078,0.51,979.0
0.079,0.51,1076.5
0.081,0.51,554.0
0.082,0.51,341.0
0.083,0.51,1348.3333333333333
0.084,0.51,1693.0
0.086,0.51,288.0
0.088,0.51,409.0
0.089,0.51,1550.0
0.09,0.51,1475.0
0.093,0.51,398.0
0.096,0.51,69.0
0.098,0.51,770.0
0.099,0.51,81.0
0.101,0.51,1098.5
0.102,0.51,791.0
0.103,0.51,816.0
0.104,0.51,140.0
0.105,0.51,837.0
0.107,0.51,182.0
0.108,0.51,247.0
0.109,0.51,979.0
0.111,0.51,651.0
0.112,0.51,322.0
0.114,0.51,785.3333333333334
0.115,0.51,426.0
0.118,0.51,977.0
0.119,0.51,1343.3333333333333
0.12,0.51,462.0
0.121,0.51,613.0
0.122,0.51,889.0
0.123,0.51,68.0
0.124,0.51,656.0
0.125,0.51,88.0
0.127,0.51,871.0
0.128,0.51,420.6666666666667
0.129,0.51,735.3333333333334
0.13,0.51,694.0
0.131,0.51,181.0
0.135,0.51,545.0
0.136,0.51,593.3333333333334
0.137,0.51,669.0
0.138,0.51,123.0
0.139,0.51,522.3333333333334
0.14,0.51,616.0
0.141,0.51,119.0
0.143,0.51,268.6666666666667
0.145,0.51,841.5
0.146,0.51,248.0
0.147,0.51,321.0
0.148,0.51,82.0
0.15,0.51,979.0
0.153,0.51,294.5
0.154,0.51,890.0
0.155,0.51,54.0
0.157,0.51,220.5
0.158,0.51,555.0
0.159,0.51,293.3333333333333
0.161,0.51,1280.0
0.164,0.51,109.0
0.165,0.51,315.5
0.166,0.51,326.0
0.167,0.51,137.66666666666666
0.168,0.51,272.0
0.17,0.51,1552.5
0.171,0.51,2608.0
0.172,0.51,79.0
0.174,0.51,424.0
0.176,0.51,984.0
0.178,0.51,95.0
0.179,0.51,362.0
0.18,0.51,117.0
0.181,0.51,1231.0
0.184,0.51,1811.5
0.185,0.51,158.0
0.186,0.51,102.5
0.187,0.51,85.0
0.188,0.51,2518.5
0.19,0.51,56.0
0.191,0.51,2011.0
0.192,0.51,1174.0
0.193,0.51,66.0
0.194,0.51,2723.0
0.195,0.51,547.0
0.198,0.51,1599.0
0.199,0.51,66.0
0.201,0.51,79.0
0.202,0.51,59.0
0.203,0.51,131.0
0.204,0.51,112.0
0.206,0.51,4001.0
0.207,0.51,267.5
0.21,0.51,54.0
0.211,0.51,565.5
0.212,0.51,465.0
0.214,0.51,445.0
0.215,0.51,238.5
0.216,0.51,59.0
0.217,0.51,252.0
0.218,0.51,855.0
0.219,0.51,101.0
0.22,0.51,464.5
0.224,0.51,448.5
0.225,0.51,106.0
0.226,0.51,101.5
0.227,0.51,81.0
0.23,0.51,109.0
0.231,0.51,95.0
0.232,0.51,348.0
0.235,0.51,134.5
0.237,0.51,697.0
0.239,0.51,95.0
0.241,0.51,87.0
0.244,0.51,113.0
0.245,0.51,138.0
0.246,0.51,64.0
0.247,0.51,1062.0
0.249,0.51,91.5
0.25,0.51,1999.0
0.251,0.51,154.0
0.252,0.51,294.0
0.253,0.51,77.0
0.255,0.51,104.0
0.256,0.51,811.0
0.257,0.51,118.5
0.258,0.51,105.0
0.259,0.51,477.0
0.26,0.51,96.0
0.261,0.51,162.5
0.263,0.51,89.5
0.264,0.51,109.0
0.265,0.51,805.0
0.266,0.51,604.0
0.267,0.51,162.0
0.268,0.51,91.0
0.269,0.51,131.0
0.27,0.51,226.0
0.271,0.51,74.0
0.272,0.51,148.5
0.273,0.51,80.0
0.275,0.51,160.0
0.276,0.51,286.0
0.277,0.51,371.0
0.278,0.51,436.3333333333333
0.279,0.51,77.0
0.28,0.51,260.75
0.281,0.51,166.0
0.282,0.51,132.5
0.283,0.51,129.0
0.286,0.51,104.0
0.288,0.51,131.0
0.289,0.51,377.0
0.29,0.51,162.0
0.291,0.51,1017.5
0.293,0.51,1305.0
0.294,0.51,1123.0
0.295,0.51,425.0
0.296,0.51,1988.0
0.297,0.51,294.0
0.299,0.51,69.0
0.3,0.51,142.0
0.301,0.51,635.0
0.303,0.51,137.5
0.305,0.51,72.0
0.306,0.51,86.5
0.307,0.51,145.5
0.309,0.51,944.0
0.31,0.51,1142.0
0.311,0.51,72.0
